rank	DCI	category
1	1.2113416215358213	Rwanda
2	1.0613672148668787	Spain
3	1.0085339847984334	France
4	0.9678173535826651	Namibia
5	0.9593472541566397	Italy
6	0.9433626070895933	Netherlands
7	0.9328489131341623	Poland
8	0.9102082186251189	Belgium
9	0.8757611229555327	Denmark
10	0.8698255174272546	Tajikistan
11	0.863316001609668	Ukraine
12	0.8589034922573541	Germany
13	0.8584213517736881	Austria
14	0.8425367850798187	New Zealand
15	0.8180317207378045	Kenya
16	0.8070568437387476	Portugal
17	0.8033961070810336	Bolivia (Plurinational State of)
18	0.7606262599756571	Czech Republic
19	0.7566716617423874	Israel
20	0.7531565843047192	Algeria
21	0.7244795195657611	Brazil
22	0.717952838691268	Bulgaria
23	0.7088154731591592	United States of America
24	0.7024804527375035	Indonesia
25	0.6841301727980411	India
26	0.6810525125259538	Switzerland
27	0.6791803853682045	United Kingdom
28	0.6788520357437823	Greece
29	0.6537777128788178	Croatia
30	0.6490195448064815	Korea (Republic of)
31	0.64199254744607	Australia
32	0.6277360601907434	Lithuania
33	0.6046413719511343	Philippines
34	0.6026982075130357	Cuba
35	0.6012973831071413	Canada
36	0.594754016600097	Estonia
37	0.588143882967519	Ireland
38	0.5878204870925313	Sweden
39	0.5805990448175766	Gabon
40	0.5795743983141638	Turkey
41	0.5683687045362661	Mexico
42	0.5672577573266522	China
43	0.5602071285933545	Cyprus
44	0.5499593161726932	Hungary
45	0.5272067206034272	Slovakia
46	0.5147344403636459	Latvia
47	0.4991840552413114	Moldova (Republic of)
48	0.4955003035877875	Slovenia
49	0.4861931424600758	Georgia
50	0.4737374017077364	Romania
51	0.468289077451086	South Africa
52	0.44771263455334714	Norway
53	0.44188286891745915	Malaysia
54	0.43743837895432935	Uganda
55	0.428456666014213	Peru
56	0.42140151702463624	Guatemala
57	0.4094198711742699	Russian Federation
58	0.39074873179582786	Burundi
59	0.39029745337637434	Eswatini
60	0.39029745337637434	Madagascar
61	0.34698353988704156	Egypt
62	0.32541555247122045	Viet Nam
63	0.3223328449884375	North Macedonia (Republic of)
64	0.2934642704806637	Japan
65	0.2900815321525175	Albania
66	0.1955645269522552	Cambodia
67	0.19357184487336318	Singapore
68	0.1896705456149309	Argentina
69	0.14700607564075183	Belarus
70	0.1054245430584901	Dominican Republic
71	0.08600992334498592	United Arab Emirates
72	0.08492176043239581	Serbia
73	-0.015310373214763383	Chile
74	-0.06837100908905476	Colombia
75	-0.10710011842614937	Venezuela (Bolivarian Republic of)
76	-0.17198021210415754	Tunisia
77	-0.21381354351868107	Bosnia and Herzegovina
78	-0.29582729638889615	Saudi Arabia
79	-0.3040456147989921	Lao People's Democratic Republic
80	-0.3040456147989921	Zimbabwe
81	-0.30652362187994736	Panama
82	-0.32060169057277427	Guinea
83	-0.33400834368072607	Germany (West)
84	-0.36832662766872104	Qatar
85	-0.3832075602474	Uruguay
86	-0.38637927312739123	Mali
87	-0.4196131492938242	Costa Rica
88	-0.45881974480510346	Jordan
89	-0.4857572715146716	Sri Lanka
90	-0.5078927178756901	Oman
91	-0.5585226113927949	Iran (Islamic Republic of)
92	-0.675808739365778	Pakistan
93	-0.6913721999721943	Lebanon
94	-0.7734760903898654	Papua New Guinea
95	-0.8602112524162354	Ecuador
96	-0.9327321546200774	Yemen
97	-0.935660418415882	Morocco
98	-0.9997624941073572	Armenia
99	-1.0105327178744523	Ethiopia
100	-1.1236635414657719	Kyrgyzstan
101	-1.1512879299551062	Mauritius
102	-1.2218891749655032	Sudan
103	-1.2276175043698947	Ghana
104	-1.2571741316337486	Korea (Democratic People's Republic of)
105	-1.2823789052052783	Kazakhstan
106	-1.3989179172363324	Bangladesh
107	-1.4011429079855753	Djibouti
108	-1.485271393628266	Nigeria
109	-1.548538607430283	Nepal
110	-1.579776620404725	Bahrain
111	-1.7597238999986415	Syrian Arab Republic
112	-1.9655657660606214	Zambia
113	-2.4222479824630017	Uzbekistan
114	-3.323562887685637	Benin
115	-5.761807615826926	Liberia
116	nan	Trinidad and Tobago
117	nan	El Salvador
118	nan	Azerbaijan
119	nan	Honduras
120	nan	Jamaica
121	nan	Niger
122	nan	Democratic Republic of the Congo
123	nan	Senegal
124	nan	Cameroon
125	nan	Haiti
126	nan	Paraguay
127	nan	Serbia and Montenegro
128	nan	Sierra Leone
129	nan	Turkmenistan
