ranking,product,ECI
0,TAPESTRIES,1.7885202514685037
1,PERCHES AND OTHER CAGE ATTACHMENTS,1.773209216677976
2,Devices for carrying and walking with babies and children,1.7234483536087615
3,Wigs and false beauty articles,1.7224914139343535
4,PARTS AND ACCESSORIES FOR LIGHTING APPARATUS, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES,1.6822999476092184
5,HAIR STYLING APPARATUS AND INSTRUMENTS,1.6459362399817155
6,LACE,1.555026970912958
7,PHOTOCOPYING APPARATUS AND ENLARGERS,1.516749383936639
8,ANIMAL FOODSTUFFS,1.4191415371470257
9,Railway infrastructure components,1.3617251566825472
10,FRUIT, VEGETABLES AND PRODUCTS MADE FROM FRUITS AND VEGETABLES,1.3511988202640595
11,TOFU AND TOFU PRODUCTS,1.3148351126365565
12,GRAPHIC SYMBOLS AND LOGOS, SURFACE PATTERNS, ORNAMENTATION,1.2803852843578694
13,MARKERS, MARKS AND SHACKLES,1.2287105419398388
14,OTHER TIME-MEASURING INSTRUMENTS,1.187562135940296
15,TENTS AND ACCESSORIES THEREOF,1.1684233424521364
16,DEVELOPING APPARATUS AND EQUIPMENT,1.1349304538478573
17,FIREPLACE IMPLEMENTS,1.1301457554758174
18,TELPHER CARRIERS, CHAIR LIFTS AND SKI LIFTS,1.1167486000341058
19,PAINTBRUSHES, BRUSHES FOR USE IN COOKING,1.0928251081739064
20,SPUN ARTICLES,1.0928251081739064
21,Other sanitary equipment and accessories, not included in other classes or subclasses,1.0784710130577868
22,WHIPS AND PRODS,1.0545475211975874
23,TARGETS AND ACCESSORIES,1.0459350641279157
24,ACCESSORIES,1.0086144168260047
25,LUMINOUS DEVICES FOR VEHICLES,0.9808631662681735
26,Cooling and freezing devices, INSULATING containers,0.9004802336179036
27,PHARMACEUTICAL PRODUCTS,0.8985663542690877
28,HITCHING POSTS,0.8976094145946797
29,APPLIANCES AND UTENSILS, HAND-OPERATED, FOR PREPARING FOOD OR DRINK,0.8880400178505999
30,TRACTORS,0.8842122591529681
31,CURTAINS AND INDOOR BLINDS,0.8784706211065203
32,BRUSHES FOR MACHINES,0.8574179482695448
33,ANIMAL CLOTHING,0.8344513960837534
34,EMBROIDERY,0.8287097580373056
35,PRINTING MACHINES,0.7923460504098025
36,VEHICLES DRAWN BY ANIMALS,0.7569392824567075
37,Toys AND TRAINING EQUIPMENT for animals,0.7540684634334837
38,BICYCLE AND MOTORCYCLE RACKS,0.7521545840846676
39,Equipment for urination and defecation,0.7483268253870358
40,Handles and grips for the transport or handling of packages and containers,0.7330157905965082
41,MACHINE TOOLS, ABRADING AND FOUNDING MACHINERY,0.7320588509221002
42,DEVICES AND EQUIPMENT AGAINST FIRE HAZARDS,0.7263172128756523
43,ROAD VEHICLE TRAILERS,0.7234463938524285
44,Sanitary appliances for HYGIENIC PURPOSES,0.702393721015453
45,METAL FITTINGS AND MOUNTINGS FOR DOORS, WINDOWS AND FURNITURE, AND SIMILAR ARTICLES, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES,0.6861257465505175
46,CONSTRUCTION AND MINING MACHINERY,0.6842118672017015
47,SADDLERY,0.6708147117599899
48,LOCOMOTIVES AND ROLLING STOCK FOR RAILWAYS AND ALL OTHER RAIL VEHICLES,0.6612453150159101
49,FLAT-IRONS, AND WASHING, CLEANING AND DRYING EQUIPMENT,0.629666305760447
50,TOOLS AND IMPLEMENTS FOR DRILLING, MILLING OR DIGGING,0.627752426411631
51,PERAMBULATORS, INVALID CHAIRS, STRETCHERS,0.6172260899931433
52,AGRICULTURAL AND FORESTRY MACHINERY,0.593302598132944
53,CIGAR CASES, CIGARETTE CASES, TOBACCO JARS AND POUCHES,0.5703360459471526
54,Stands and holders for household appliances and utensils,0.5435417350637293
55,STEPS, LADDERS AND SCAFFOLDS,0.5406709160405054
56,HANDCARTS, WHEELBARROWS,0.5368431573428735
57,Litter BOXES and devices for removing animal excrement,0.5339723383196495
58,CHEESES, BUTTER AND BUTTER SUBSTITUTES, OTHER DAIRY PRODUCE,0.517704363854714
59,KEYBOARD INSTRUMENTS,0.5119627258082662
60,ROPES AND HOOPING MATERIALS,0.5062210877618183
61,BRUSHES AND BROOMS FOR CLEANING,0.5023933290641864
62,BOOKBINDING MACHINES, PRINTERS’ STAPLING MACHINES, GUILLOTINES AND TRIMMERS (FOR BOOKBINDING),0.4956947513433306
63,HANDLES, KNOBS AND HINGES,0.4842114752504349
64,PARTS, EQUIPMENT AND ACCESSORIES FOR VEHICLES, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES,0.481340656227211
65,SIGNALLING APPARATUS AND DEVICES,0.47464207850635515
66,TOILET BRUSHES, CLOTHES BRUSHES AND SHOE BRUSHES,0.4669865611110914
67,OTHER VEHICLES,0.4583741040414196
68,PROSTHETIC ARTICLES,0.43923531055326015
69,ELEVATORS AND HOISTS FOR LOADING OR CONVEYING,0.4258381551115485
70,HAMMERS AND OTHER SIMILAR TOOLS AND IMPLEMENTS,0.4220103964139166
71,Machinery for filling, packing or packaging,0.4220103964139166
72,DEVICES AND EQUIPMENT FOR ACCIDENT PREVENTION AND FOR RESCUE, NOT ELSEWHERE SPECIFIED,0.42009651706510065
73,PENS, CAGES, KENNELS AND SIMILAR SHELTERS,0.4191395773906927
74,FEEDERS AND WATERERS,0.41818263771628467
75,CASINGS, CASES, DIALS, HANDS AND ALL OTHER PARTS AND ACCESSORIES OF INSTRUMENTS FOR MEASURING, CHECKING AND SIGNALLING,0.4153118186930608
76,Solar equipment,0.4153118186930608
77,TOBACCO, CIGARS AND CIGARETTES,0.4153118186930608
78,PROJECTILE WEAPONS,0.40957018064661294
79,CANDLESTICKS AND CANDELABRA,0.40957018064661294
80,AMMUNITION, ROCKETS AND PYROTECHNIC ARTICLES,0.4038285426001651
81,SCREWDRIVERS AND OTHER SIMILAR TOOLS AND IMPLEMENTS,0.4019146632513491
82,MATCHES,0.39712996487930924
83,WRITING PAPER, CARDS FOR CORRESPONDENCE AND ANNOUNCEMENTS,0.3655509556238461
84,FASTENING, SUPPORTING OR MOUNTING DEVICES NOT INCLUDED IN OTHER CLASSES,0.35693849855417437
85,PERCUSSION INSTRUMENTS,0.3540676795309504
86,MATTRESSES AND CUSHIONS,0.3397135844148308
87,CALENDARS,0.33779970506601487
88,Electronic cigarettes AND OTHER ELECTRONIC SMOKING SUPPLIES,0.3263164289731192
89,TRAPS, ARTICLES FOR PEST KILLING,0.3148331528802235
90,Holders, stands and supports for electronic equipment, not included in other classes,0.29282354036884006
91,ARTIFICIAL FLOWERS, FRUIT AND PLANTS,0.2880388419968002
92,WASHING, CLEANING AND DRYING MACHINES,0.26890004850864074
93,ENGINES,0.2631584104621929
94,OTHER TOOLS AND IMPLEMENTS,0.25741677241574507
95,SOLID FUEL,0.2555028930669291
96,PALLETS AND PLATFORMS FOR FORKLIFTS,0.2440196169740334
97,OTHER HOUSEHOLD RECEPTACLES,0.2401918582764015
98,COSMETIC PRODUCTS,0.2401918582764015
99,OPTICAL ARTICLES,0.22679470283468986
100,TYPE AND TYPE FACES,0.2181822457650181
101,HUNTING AND FISHING EQUIPMENT,0.21339754739297823
102,TEXTILE, SEWING, KNITTING AND EMBROIDERING MACHINES, INCLUDING THEIR INTEGRAL PARTS,0.19425875390481875
103,RIBBONS, BRAIDS AND OTHER DECORATIVE TRIMMINGS,0.18851711585837092
104,SPECIAL-PURPOSE VEHICLES,0.17607690009106725
105,CLOTHES HANGERS,0.1703352620446194
106,PHOTOGRAPHIC CAMERAS AND FILM CAMERAS,0.16555056367257953
107,DISPLAY AND SALES EQUIPMENT,0.15311034790527586
108,CUTTING TOOLS AND IMPLEMENTS,0.13492849409152435
109,Table cutlery,0.1330146147427084
110,REFRIGERATION MACHINERY AND APPARATUS,0.13110073539389244
111,VENTILATION AND AIR-CONDITIONING EQUIPMENT,0.12248827832422068
112,WATCHES AND WRIST WATCHES,0.10909112288250905
113,COOKING APPLIANCES, UTENSILS AND CONTAINERS,0.10047866581283728
114,OTHER MEASURING INSTRUMENTS, APPARATUS AND DEVICES,0.08899538971994159
115,TEACHING MATERIALS AND APPARATUS,0.08708151037112564
116,MEDALS AND BADGES,0.07177047558059806
117,BUTCHERS’ MEAT (INCLUDING PORK PRODUCTS), FISH,0.06507189785974224
118,Beds, nests and furniture for animals,0.0334928886042791
119,MACHINES AND APPLIANCES FOR PREPARING FOOD OR DRINK, NOT ELSEWHERE SPECIFIED,0.014354095116119611
120,Hardware for curtains,0.014354095116119611
121,TYPEWRITERS AND CALCULATING MACHINES,0.004784698372039871
122,MIRRORS AND FRAMES,-0.02296655218579138
123,REFUSE AND TRASH CONTAINERS AND STANDS THEREFOR,-0.028708190232239222
