institution;country;production;year
Chinese Academy of Medical Sciences & Peking Union Medical College;China;5206;2015
Albert Einstein College of Medicine;United States;2948;2015
Indiana University School of Medicine;United States;3400;2015
Tokyo University of Science;Japan;2167;2015
Martin Luther University Halle-Wittenberg;Germany;2291;2015
Universidade Federal de São Carlos;Brazil;3183;2015
Universidade Federal da Bahia;Brazil;2330;2015
Florida College;United States;1166;2015
Weatherford College;United States;1017;2015
Sağlık Bilimleri Üniversitesi;Türkiye;207;2015
Seattle University;United States;1753;2015
Institute of Medical Sciences;India;1765;2015
Université Paris 1 Panthéon-Sorbonne;France;1904;2015
University of Rajasthan;India;2293;2015
University of Novi Sad;Serbia;2087;2015
Institut Agama Islam Negeri Bengkulu;Indonesia;634;2015
University of Bayreuth;Germany;1357;2015
Center for Astrophysics Harvard & Smithsonian;United States;1076;2015
Ulsan College;South Korea;1988;2015
Université Paris Nanterre;France;1960;2015
Osaka Prefecture University;Japan;1279;2015
Moscow State University;Tajikistan;1355;2015
Saveetha University;India;277;2015
Shahid Beheshti University;Iran;1809;2015
Marymount University;United States;820;2015
China University of Petroleum, East China;China;1292;2015
SRM Institute of Science and Technology;India;445;2015
Islamic Azad University, Science and Research Branch;Iran;2112;2015
Vita-Salute San Raffaele University;Italy;1152;2015
Providence College;United States;1143;2015
Université Paris 8;France;1312;2015
Miami University;United States;1112;2015
Southern California University for Professional Studies;United States;1088;2015
Novosibirsk State University;Russia;1997;2015
University of Gdańsk;Poland;1477;2015
Pontifícia Universidade Católica do Rio Grande do Sul;Brazil;1888;2015
Philadelphia University;United States;958;2015
John Brown University;United States;841;2015
University School;United States;1138;2015
Nagoya Institute of Technology;Japan;1098;2015
Dalian University;China;1464;2015
Wheaton College - Illinois;United States;122;2015
Johannes Kepler University of Linz;Austria;1304;2015
California University of Pennsylvania;United States;791;2015
Institut Polytechnique de Bordeaux;France;1531;2015
University of Electro-Communications;Japan;1118;2015
Institut polytechnique de Grenoble;France;1051;2015
New Jersey Institute of Technology;United States;911;2015
Rochester Institute of Technology;United States;1151;2015
Universidade Federal de Campina Grande;Brazil;1631;2015
Universidad de Londres;Mexico;623;2015
Shandong Normal University;China;683;2015
Kyoto Prefectural University of Medicine;Japan;757;2015
Universidade de Ribeirão Preto;Brazil;1239;2015
Peter the Great St. Petersburg Polytechnic University;Russia;1405;2015
Universitas Muhammadiyah Tapanuli Selatan;Indonesia;660;2015
Transnational Press London;United Kingdom;667;2015
Instituto Superior Técnico;Portugal;593;2015
Universidade Federal de Mato Grosso;Brazil;1427;2015
Université de Picardie Jules Verne;France;1125;2015
Universidade Federal Rural de Pernambuco;Brazil;1284;2015
