institution;country;production;year
Chinese Academy of Medical Sciences & Peking Union Medical College;China;4276;2012
Albert Einstein College of Medicine;United States;2518;2012
Indiana University School of Medicine;United States;2379;2012
Tokyo University of Science;Japan;2232;2012
Martin Luther University Halle-Wittenberg;Germany;1566;2012
Universidade Federal de São Carlos;Brazil;2702;2012
Universidade Federal da Bahia;Brazil;1824;2012
Florida College;United States;1058;2012
Weatherford College;United States;1157;2012
Sağlık Bilimleri Üniversitesi;Türkiye;50;2012
Seattle University;United States;1326;2012
Institute of Medical Sciences;India;1049;2012
Université Paris 1 Panthéon-Sorbonne;France;1615;2012
University of Rajasthan;India;4981;2012
University of Novi Sad;Serbia;1828;2012
Institut Agama Islam Negeri Bengkulu;Indonesia;150;2012
University of Bayreuth;Germany;1226;2012
Center for Astrophysics Harvard & Smithsonian;United States;1030;2012
Ulsan College;South Korea;1472;2012
Université Paris Nanterre;France;1541;2012
Osaka Prefecture University;Japan;1241;2012
Moscow State University;Tajikistan;1643;2012
Saveetha University;India;91;2012
Shahid Beheshti University;Iran;1372;2012
Marymount University;United States;801;2012
China University of Petroleum, East China;China;937;2012
SRM Institute of Science and Technology;India;318;2012
Islamic Azad University, Science and Research Branch;Iran;1603;2012
Vita-Salute San Raffaele University;Italy;958;2012
Providence College;United States;875;2012
Université Paris 8;France;946;2012
Miami University;United States;1016;2012
Southern California University for Professional Studies;United States;1106;2012
Novosibirsk State University;Russia;955;2012
University of Gdańsk;Poland;1083;2012
Pontifícia Universidade Católica do Rio Grande do Sul;Brazil;1331;2012
Philadelphia University;United States;779;2012
John Brown University;United States;740;2012
University School;United States;816;2012
Nagoya Institute of Technology;Japan;1225;2012
Dalian University;China;1223;2012
Wheaton College - Illinois;United States;119;2012
Johannes Kepler University of Linz;Austria;1019;2012
California University of Pennsylvania;United States;654;2012
Institut Polytechnique de Bordeaux;France;1167;2012
University of Electro-Communications;Japan;1022;2012
Institut polytechnique de Grenoble;France;1322;2012
New Jersey Institute of Technology;United States;797;2012
Rochester Institute of Technology;United States;1018;2012
Universidade Federal de Campina Grande;Brazil;949;2012
Universidad de Londres;Mexico;663;2012
Shandong Normal University;China;673;2012
Kyoto Prefectural University of Medicine;Japan;651;2012
Universidade de Ribeirão Preto;Brazil;999;2012
Peter the Great St. Petersburg Polytechnic University;Russia;419;2012
Universitas Muhammadiyah Tapanuli Selatan;Indonesia;100;2012
Transnational Press London;United Kingdom;673;2012
Instituto Superior Técnico;Portugal;1394;2012
Universidade Federal de Mato Grosso;Brazil;777;2012
Université de Picardie Jules Verne;France;860;2012
Universidade Federal Rural de Pernambuco;Brazil;840;2012
Universitas Patria Artha;Indonesia;123;2012
École Pratique des Hautes Études;France;521;2012
Institute of Cancer Research;United Kingdom;677;2012
Universitas Negeri Surabaya;Indonesia;145;2012
Teikyo University;Japan;567;2012
Bridge University;South Sudan;418;2012
Nippon Medical School;Japan;781;2012
Université Toulouse - Jean Jaurès;France;763;2012
Illinois College;United States;480;2012
University of Massachusetts Lowell;United States;706;2012
Sofia University "St. Kliment Ohridski";Bulgaria;644;2012
