institution;country;production;year
Chinese Academy of Medical Sciences & Peking Union Medical College;China;4712;2014
Albert Einstein College of Medicine;United States;2958;2014
Indiana University School of Medicine;United States;3161;2014
Tokyo University of Science;Japan;2266;2014
Martin Luther University Halle-Wittenberg;Germany;1870;2014
Universidade Federal de São Carlos;Brazil;3108;2014
Universidade Federal da Bahia;Brazil;2353;2014
Florida College;United States;1243;2014
Weatherford College;United States;1051;2014
Sağlık Bilimleri Üniversitesi;Türkiye;96;2014
Seattle University;United States;1650;2014
Institute of Medical Sciences;India;1552;2014
Université Paris 1 Panthéon-Sorbonne;France;1891;2014
University of Rajasthan;India;4614;2014
University of Novi Sad;Serbia;1987;2014
Institut Agama Islam Negeri Bengkulu;Indonesia;377;2014
University of Bayreuth;Germany;1329;2014
Center for Astrophysics Harvard & Smithsonian;United States;1030;2014
Ulsan College;South Korea;1745;2014
Université Paris Nanterre;France;1769;2014
Osaka Prefecture University;Japan;1286;2014
Moscow State University;Tajikistan;1686;2014
Saveetha University;India;303;2014
Shahid Beheshti University;Iran;1545;2014
Marymount University;United States;733;2014
China University of Petroleum, East China;China;929;2014
SRM Institute of Science and Technology;India;479;2014
Islamic Azad University, Science and Research Branch;Iran;2079;2014
Vita-Salute San Raffaele University;Italy;1031;2014
Providence College;United States;1063;2014
Université Paris 8;France;1199;2014
Miami University;United States;1104;2014
Southern California University for Professional Studies;United States;1181;2014
Novosibirsk State University;Russia;1709;2014
University of Gdańsk;Poland;1406;2014
Pontifícia Universidade Católica do Rio Grande do Sul;Brazil;1616;2014
Philadelphia University;United States;817;2014
John Brown University;United States;831;2014
University School;United States;944;2014
Nagoya Institute of Technology;Japan;1040;2014
Dalian University;China;1340;2014
Wheaton College - Illinois;United States;121;2014
Johannes Kepler University of Linz;Austria;1205;2014
California University of Pennsylvania;United States;643;2014
Institut Polytechnique de Bordeaux;France;1495;2014
University of Electro-Communications;Japan;1065;2014
Institut polytechnique de Grenoble;France;1123;2014
New Jersey Institute of Technology;United States;812;2014
Rochester Institute of Technology;United States;1310;2014
Universidade Federal de Campina Grande;Brazil;1337;2014
Universidad de Londres;Mexico;648;2014
Shandong Normal University;China;693;2014
Kyoto Prefectural University of Medicine;Japan;753;2014
Universidade de Ribeirão Preto;Brazil;1217;2014
Peter the Great St. Petersburg Polytechnic University;Russia;997;2014
Universitas Muhammadiyah Tapanuli Selatan;Indonesia;282;2014
Transnational Press London;United Kingdom;416;2014
Instituto Superior Técnico;Portugal;781;2014
Universidade Federal de Mato Grosso;Brazil;1321;2014
Université de Picardie Jules Verne;France;999;2014
Universidade Federal Rural de Pernambuco;Brazil;1092;2014
Universitas Patria Artha;Indonesia;194;2014
École Pratique des Hautes Études;France;718;2014
Institute of Cancer Research;United Kingdom;685;2014
Universitas Negeri Surabaya;Indonesia;216;2014
Teikyo University;Japan;644;2014
Bridge University;South Sudan;490;2014
Nippon Medical School;Japan;776;2014
Université Toulouse - Jean Jaurès;France;982;2014
Illinois College;United States;444;2014
University of Massachusetts Lowell;United States;782;2014
Sofia University "St. Kliment Ohridski";Bulgaria;683;2014
University of Augsburg;Germany;747;2014
Korea University of Science and Technology;South Korea;904;2014
University of Nis;Serbia;1285;2014
University of Yamanashi;Japan;811;2014
University of Nairobi;Kenya;756;2014
Democritus University of Thrace;Greece;944;2014
